timestamp,game,period,number,is_big,big_small,color
2026-09-02 04:34:35,WinGo_30S,52438,1,0,SMALL,green
2026-09-02 04:34:36,WinGo_30S,52439,1,0,SMALL,green
2026-09-02 04:34:37,WinGo_30S,52440,1,0,SMALL,green
2026-09-02 04:34:37,WinGo_30S,52441,1,0,SMALL,green
2026-09-02 04:34:37,WinGo_30S,52442,1,0,SMALL,green
2026-09-02 04:34:38,WinGo_30S,52443,1,0,SMALL,green
2026-09-02 04:34:38,WinGo_30S,52444,1,0,SMALL,green
2026-09-02 04:34:38,WinGo_30S,52445,1,0,SMALL,green
2026-09-02 04:34:38,WinGo_30S,52446,1,0,SMALL,green
2026-09-02 04:34:38,WinGo_30S,52447,1,0,SMALL,green
2026-09-02 04:34:38,WinGo_30S,52448,1,0,SMALL,green
2026-09-02 04:34:39,WinGo_30S,52449,1,0,SMALL,green
2026-09-02 04:34:39,WinGo_30S,52450,2,0,SMALL,red
2026-09-02 04:34:40,WinGo_30S,52451,3,0,SMALL,green
2026-09-02 04:34:41,WinGo_30S,52452,8,1,BIG,red
2026-09-02 04:34:42,WinGo_30S,52453,2,0,SMALL,red
2026-09-02 04:34:43,WinGo_30S,52454,8,1,BIG,red
2026-09-02 04:34:44,WinGo_30S,52455,4,0,SMALL,red
